PME;PMP;PMR;MgEBIT;MgBru;MgLiq;ROE;ROA;Status_MgEBIT;Status_MgBru;Status_MgLiq;Status_ROE;Status_ROA
122,2917329;77,18511343;82,08299479;12,88096977;44,62513976;10,03586156;4,585140434;2,46454689;Medio;Bom;Medio;Bom;Medio
110,7328652;64,32083307;74,05112429;5,08303885;41,28039417;4,208465278;2,045585908;1,146886232;Medio;Bom;Medio;Bom;Medio
102,3472851;64,74930914;75,69347808;9,168066985;40,77041202;6,661882185;3,760430326;1,933876197;Medio;Bom;Medio;Bom;Medio
98,88347722;68,29324285;76,95122293;8,781071592;44,2022753;4,804759191;2,517535124;1,31960664;Medio;Bom;Medio;Bom;Medio
121,1521659;69,63688347;75,65301591;15,91005251;48,06666482;10,95971798;5,653831884;3,016332516;Medio;Bom;Medio;Bom;Medio
107,3944274;62,81906479;72,87819239;8,61133374;44,21211998;5,973026952;3,041016822;1,600346754;Medio;Bom;Medio;Bom;Medio
113,7266391;63,05660859;76,66507263;10,48501726;42,59002819;8,602089271;4,20034092;2,291028719;Medio;Bom;Medio;Bom;Medio
96,13115957;62,96012757;78,63414488;11,31407782;42,69709197;9,627726893;4,997706246;2,71342118;Medio;Bom;Medio;Bom;Medio
144,8810077;71,97644702;88,62936864;27,72583162;43,49590073;22,26277463;8,409925568;4,81388806;Medio;Bom;Medio;Bom;Bom
152,7931742;70,00132416;81,33070028;5,64737635;45,52952878;6,330845699;2,445916476;1,467336732;Medio;Bom;Medio;Bom;Medio
130,085825;57,66691557;74,94835303;8,949829105;43,54073777;7,496880155;3,171152069;1,958762377;Medio;Bom;Medio;Bom;Medio
101,468235;56,35838234;74,33404099;1,981517675;43,84219983;4,083907112;1,993820625;1,169651954;Medio;Bom;Medio;Bom;Medio
136,7329483;67,35571689;75,71827014;15,96370183;45,32116743;12,5132471;5,016101918;2,991538726;Medio;Bom;Medio;Bom;Medio
143,5040405;66,86753258;74,09568788;4,294490238;46,92016353;2,05213888;0,823607189;0,496788111;Medio;Bom;Medio;Bom;Medio
141,8364068;78,02498676;69,7386578;21,88473654;43,42341626;12,87039146;5,300028492;3,078345504;Medio;Bom;Medio;Bom;Medio
88,6382577;54,50233969;69,59744368;7,061454149;41,03394753;5,791324345;3,041836053;1,829876348;Medio;Bom;Medio;Bom;Medio
129,506483;61,91338298;81,07769719;9,811673139;45,35340934;4,624202453;1,749802545;1,033007633;Medio;Bom;Medio;Bom;Medio
125,4644311;65,04714359;77,0020746;5,5996948;45,68124923;3,181850667;1,257210766;0,731221927;Medio;Bom;Medio;Bom;Medio
133,9432072;62,85535902;75,04266234;10,08879669;46,32029497;5,64018583;2,279351854;1,340835587;Medio;Bom;Medio;Bom;Medio
245,2308748;127,381736;105,1228811;23,28399577;67,25221133;16,5838203;4,69963695;2,773305853;Medio;Bom;Medio;Bom;Medio
189,2731961;68,67971027;83,42204779;-6,685041383;48,29012062;3,117767298;0,832034637;0,443307346;Medio;Bom;Medio;Bom;Medio
239,0212346;73,19356358;96,27497917;12,88490956;51,94624087;6,542672703;1,539147333;0,669365134;Medio;Bom;Medio;Bom;Medio
156,1618367;73,05696649;81,27812137;10,57379525;52,31770461;-0,27992856;-0,090052229;-0,04338846;Medio;Bom;Medio;Bom;Medio
122,2606026;79,40569045;80,22063352;10,27621593;52,25191314;5,597424778;2,070014955;1,281771683;Medio;Bom;Medio;Bom;Medio
167,3521698;85,0183169;77,2572637;15,21729241;52,45008027;14,0000466;4,099551438;2,603478802;Medio;Bom;Medio;Bom;Medio
122,2917329;77,18511343;82,08299479;12,88096977;44,62513976;10,03586156;4,585140434;2,46454689;Medio;Bom;Medio;Bom;Medio
110,7328652;64,32083307;74,05112429;5,08303885;41,28039417;4,208465278;2,045585908;1,146886232;Medio;Bom;Medio;Bom;Medio
102,3472851;64,74930914;75,69347808;9,168066985;40,77041202;6,661882185;3,760430326;1,933876197;Medio;Bom;Medio;Bom;Medio
98,88347722;68,29324285;76,95122293;8,781071592;44,2022753;4,804759191;2,517535124;1,31960664;Medio;Bom;Medio;Bom;Medio
121,1521659;69,63688347;75,65301591;15,91005251;48,06666482;10,95971798;5,653831884;3,016332516;Medio;Bom;Medio;Bom;Medio
107,3944274;62,81906479;72,87819239;8,61133374;44,21211998;5,973026952;3,041016822;1,600346754;Medio;Bom;Medio;Bom;Medio
113,7266391;63,05660859;76,66507263;10,48501726;42,59002819;8,602089271;4,20034092;2,291028719;Medio;Bom;Medio;Bom;Medio
96,13115957;62,96012757;78,63414488;11,31407782;42,69709197;9,627726893;4,997706246;2,71342118;Medio;Bom;Medio;Bom;Medio
144,8810077;71,97644702;88,62936864;27,72583162;43,49590073;22,26277463;8,409925568;4,81388806;Medio;Bom;Medio;Bom;Bom
152,7931742;70,00132416;81,33070028;5,64737635;45,52952878;6,330845699;2,445916476;1,467336732;Medio;Bom;Medio;Bom;Medio
130,085825;57,66691557;74,94835303;8,949829105;43,54073777;7,496880155;3,171152069;1,958762377;Medio;Bom;Medio;Bom;Medio
101,468235;56,35838234;74,33404099;1,981517675;43,84219983;4,083907112;1,993820625;1,169651954;Medio;Bom;Medio;Bom;Medio
136,7329483;67,35571689;75,71827014;15,96370183;45,32116743;12,5132471;5,016101918;2,991538726;Medio;Bom;Medio;Bom;Medio
143,5040405;66,86753258;74,09568788;4,294490238;46,92016353;2,05213888;0,823607189;0,496788111;Medio;Bom;Medio;Bom;Medio
141,8364068;78,02498676;69,7386578;21,88473654;43,42341626;12,87039146;5,300028492;3,078345504;Medio;Bom;Medio;Bom;Medio
88,6382577;54,50233969;69,59744368;7,061454149;41,03394753;5,791324345;3,041836053;1,829876348;Medio;Bom;Medio;Bom;Medio
129,506483;61,91338298;81,07769719;9,811673139;45,35340934;4,624202453;1,749802545;1,033007633;Medio;Bom;Medio;Bom;Medio
125,4644311;65,04714359;77,0020746;5,5996948;45,68124923;3,181850667;1,257210766;0,731221927;Medio;Bom;Medio;Bom;Medio
133,9432072;62,85535902;75,04266234;10,08879669;46,32029497;5,64018583;2,279351854;1,340835587;Medio;Bom;Medio;Bom;Medio
245,2308748;127,381736;105,1228811;23,28399577;67,25221133;16,5838203;4,69963695;2,773305853;Medio;Bom;Medio;Bom;Medio
189,2731961;68,67971027;83,42204779;-6,685041383;48,29012062;3,117767298;0,832034637;0,443307346;Medio;Bom;Medio;Bom;Medio
239,0212346;73,19356358;96,27497917;12,88490956;51,94624087;6,542672703;1,539147333;0,669365134;Medio;Bom;Medio;Bom;Medio
156,1618367;73,05696649;81,27812137;10,57379525;52,31770461;-0,27992856;-0,090052229;-0,04338846;Medio;Bom;Medio;Bom;Medio
122,2606026;79,40569045;80,22063352;10,27621593;52,25191314;5,597424778;2,070014955;1,281771683;Medio;Bom;Medio;Bom;Medio
167,3521698;85,0183169;77,2572637;15,21729241;52,45008027;14,0000466;4,099551438;2,603478802;Medio;Bom;Medio;Bom;Medio
137,1076508;69,59220206;92,86858661;17,95553124;46,8823675;2,319825981;5,463692978;0,628092412;Medio;Bom;Medio;Bom;Medio
98,95436456;60,58423062;96,65563782;4,393642391;38,19559762;-12,44927771;-35,28808041;-3,709104436;Medio;Bom;Medio;Bom;Medio
100,7478505;75,71102804;90,28583744;-1,704816134;39,31625871;-21,3992423;-138,5270578;-6,579846821;Medio;Bom;Medio;Medio;Ruim
175,9095523;114,4953197;129,2895747;46,10305446;34,94656526;-2,010222298;-34,11496161;-0,30722081;Medio;Bom;Medio;Bom;Medio
