price_15;price_25;Marcas;Crystal (Linha);Sim;Tizen;Amazon Prime Video;Globoplay;Netflix;Youtube;Acesso Internet;Assistente Pessoal;Controle com Comando de Voz;Grava Programacao;HDR;Conversor Digital Integrado e Interativo (DTVi);LED;Tamanho da Tela;4K;Frequencia_Nativa;Bluetooth;Tecnologia DLNA;Wi-Fi integrado;Espelhamento de Tela;HDMI;LAN (Rede);USB;3 HDMI;Altura com base;Altura sem base;Largura;Profundidade com base;Profundidade sem base;ThinQ AI (Linha);WebOS;Conversor Digital Integrado;Facebook;OLED;Design da Tela;4 HDMI;Linha;Android;Controle por Smartphone;Android TV (Linha);Controle com Função Mouse;Função Estádio;Nano Cristal;IPS (In Plane Switching);2 HDMI;Picture in Picture(PiP);QLED;Frequência Máxima;ConnectShare;Slim;Saphi;Disney Plus;Tela Plana;Neo QLED;Roku;Sistema Operacional;The Frame (Linha);One Connect;PC;Série 6600 (Linha);VA (Vertically Aligned);Suporte para Controle por Movimento;Q80 (Linha);HDMI 2,1;HDMI 2,0;Série 6 (Linha);Ultra Slim;The Sero (Linha);Linux;Cartão de Memória;Vidaa;Fone de Ouvido P2;The Serif (Linha);NFC;Full HD;HD;Suporte para Wi-Fi;8K;LCD;Super Slim;Spotify;Série 5100 (Linha);Potência (RMS);Série 3000 (Linha);Smart TV;1 HDMI;Resolução de Imagem;Aquos (Linha)
1358,09;1369,53;AOC (Marca);0;1;0;0;0;1;1;1;0;0;1;0;0;1;32;0;60;0;0;0;1;1;1;1;1;47,6;43,5;73,1;16,7;7,7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2178;2178;AOC (Marca);0;1;0;0;1;1;1;0;0;0;1;1;0;1;32;0;60;0;0;1;1;1;1;1;1;47,8;43,2;73,1;16,5;7,7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1783,18;1853,44;AOC (Marca);0;1;0;0;0;1;1;1;0;0;1;0;0;1;43;0;60;0;0;0;1;1;1;1;1;60,2;56,2;96,9;21,4;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2779,69;2758,68;AOC (Marca);0;1;0;1;1;1;1;1;0;0;0;1;0;1;50;1;60;1;0;1;0;1;0;1;1;70,3;62,5;111,3;26,8;8,7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1719,82;1704,85;Britania (Marca);0;1;0;1;1;1;1;1;0;0;0;0;0;1;32;0;60;0;0;1;1;1;0;1;0;0;0;72,5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1603,9;1524,9;Britania (Marca);0;1;0;1;1;1;1;1;0;0;0;0;0;1;39;0;60;0;0;1;1;1;0;1;0;0;0;88,5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1879,45;1829,91;Britania (Marca);0;1;0;1;1;1;1;1;0;0;0;0;0;1;42;0;60;0;0;1;1;1;0;1;1;0;0;95,5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2505,9;2178,9;Britania (Marca);0;1;0;1;1;1;1;1;0;0;0;1;0;1;50;1;60;0;0;1;0;1;1;1;0;0;64,5;112;0;7,5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4999,9;4999,9;Britania (Marca);0;1;0;1;1;1;1;0;0;0;0;0;0;1;55;0;60;0;0;1;1;1;0;1;0;0;0;1,23;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1520,03;1310;HQ (Marca);0;1;0;0;1;1;1;0;0;0;0;0;0;1;32;0;60;0;0;1;0;1;1;1;0;47;0;73,5;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
