Regi‹o;Lojas;1-Estrela;2-Estrelas;3-Estrelas;4-Estrelas;5-Estrelas;;;;
Belo Horizonte;Bel Lar;0,008988764;0,004494382;0,060674157;0,116853933;0,808988764;;;;
Belo Horizonte;Portobello Shop;0,026315789;0;0,026315789;0,245614035;0,701754386;;;;
Bras’lia;Portobello Shop;0;0;0,18;0,32;0,5;;;;
Bras’lia;S‹o Geraldo;0,008750994;0,009546539;0,045346062;0,232299125;0,704057279;;;;
Campinas;Portobello Shop;0,01048951;0,027972028;0,062937063;0,041958042;0,856643357;;;;
Campinas;Unique Revestimentos;0,010335917;0,005167959;0,015503876;0,103359173;0,865633075;;;;
Curitiba;Impermix;0,006896552;0;0,020689655;0,110344828;0,862068966;;;;
Curitiba;Portobello Shop;0,007633588;0,015267176;0;0,213740458;0,763358779;;;;
Florian—polis;Mosarte & Co;0,011111111;0;0;0,044444444;0,944444444;;;;
Florian—polis;Portobello Shop;0;0;0;0;1;;;;
Fortaleza;Acal;0,004683841;0,004683841;0,035128806;0,206088993;0,74941452;;;;
Fortaleza;Portobello Shop;0,016393443;0,032786885;0;0,131147541;0,819672131;;;;
Goiania;Aldeia Acabamentos;0,004504505;0,018018018;0,040540541;0,126126126;0,810810811;;;;
Goiania;Portobello Shop;0;0;0,021428571;0,085714286;0,892857143;;;;
Joinville;Decorpisos;0,012903226;0;0,058064516;0,15483871;0,774193548;;;;
Joinville;Portobello Shop;0;0;0;0,444444444;0,555555556;;;;
Londrina;Portobello Shop;0,00952381;0;0;0,038095238;0,952380952;;;;
Londrina;Prisma;0;0;0;0;1;;;;
Maceio;Deccori;0;0,181818182;0;0,363636364;0,454545455;;;;
Maceio;Portobello Shop;0;0;0,071428571;0,095238095;0,833333333;;;;
Maring‡;Atelier Portinari;0,016949153;0;0,050847458;0;0,93220339;;;;
Maring‡;Portobello Shop;0;0;0;0,117647059;0,882352941;;;;
Porto Alegre;Costaneira Premium;0,011235955;0;0;0,08988764;0,898876404;;;;
Porto Alegre;Portobello Shop;0,036697248;0,036697248;0,055045872;0,183486239;0,688073394;;;;
Recife;Portobello Shop;0,015873016;0,031746032;0;0,317460317;0,634920635;;;;
Recife;Refinare;0,019230769;0;0,086538462;0,269230769;0,625;;;;
Ribeir‹o Preto;Casa Rara;0;0,02020202;0;0,121212121;0,858585859;;;;
Ribeir‹o Preto;Portobello Shop;0,005434783;0;0,016304348;0,108695652;0,869565217;;;;
Rio de Janeiro;Ekko;0;0;0;0;1;;;;
Rio de Janeiro;Portobello Shop;0;0;0;0,090909091;0,909090909;;;;
S‹o Paulo Pacaembu;Mais Revestimentos;0;0;0,066666667;0,266666667;0,666666667;;;;
S‹o Paulo Pacaembu;Portobello Shop;0;0;0,033333333;0,133333333;0,833333333;;;;
