PME,PMP,PMR,MgEBIT,MgBru,MgLiq,ROE,ROA,Status_MgEBIT,Status_MgBru,Status_MgLiq,Status_ROE,Status_ROA
27.8840977,41.09930987,44.13713855,8.808698933,29.91801873,5.961650602,6.925130494,3.332630247,Ruim,Medio,Medio,Bom,Medio
33.75394955,38.53854256,43.67517013,4.941955675,27.43913534,3.737399469,3.878472026,1.986153013,Ruim,Medio,Medio,Medio,Medio
28.09352898,43.60339913,40.4299409,8.368170679,31.72120513,5.701311806,5.693924561,3.018219975,Ruim,Medio,Medio,Medio,Medio
27.69163805,48.47124825,39.39870836,3.368456832,29.71787899,3.990482665,4.118431207,2.137576927,Ruim,Medio,Medio,Medio,Medio
29.53400504,46.36859782,41.4017425,7.844465957,30.82284608,5.175863182,5.485823729,2.742583568,Ruim,Medio,Medio,Medio,Medio
31.45263158,48.57528604,39.14454744,8.162232276,30.87411813,5.337087538,5.462286908,2.764712631,Ruim,Medio,Medio,Medio,Medio
26.36663642,32.21392624,39.52458115,8.313319251,29.85329437,5.625162765,5.944954128,3.128721795,Ruim,Medio,Medio,Medio,Medio
29.03225807,52.22434529,46.69686941,9.736313819,27.59210027,6.657262221,7.220620255,3.507267504,Ruim,Medio,Medio,Bom,Medio
27.67568884,47.14166435,38.65803109,6.932642487,25.53367876,4.520725389,4.96126235,2.391262642,Ruim,Medio,Medio,Medio,Medio
29.60745074,59.41579434,35.3298964,14.60367818,35.59708521,10.05551975,10.65570541,5.281726814,Ruim,Medio,Medio,Bom,Medio
23.85628964,42.94963364,37.5098267,5.792193024,19.70037824,3.831796495,3.791863395,2.005979112,Ruim,Ruim,Medio,Medio,Medio
19.80657232,47.53251456,44.03614872,7.135821135,24.08540077,4.739651341,4.977446322,2.551077026,Ruim,Medio,Medio,Medio,Medio
25.04576489,46.82865746,40.3790642,7.981829981,24.94573609,5.3189823,5.570462721,2.960923778,Ruim,Medio,Medio,Medio,Medio
28.15749111,51.68619261,43.32551492,6.176549635,25.13132498,4.082679763,3.738631406,2.0448121,Ruim,Medio,Medio,Medio,Medio
24.2512062,50.16505841,39.17429554,13.07328183,29.65658911,8.882239986,8.371212121,4.608060051,Ruim,Medio,Medio,Bom,Medio
26.50445322,52.98686989,42.40020247,6.150058671,24.82571383,4.659135357,4.105173532,2.259767216,Ruim,Medio,Medio,Medio,Medio
