PME,PMP,PMR,MgEBIT,MgBru,MgLiq,ROE,ROA,Status_MgEBIT,Status_MgBru,Status_MgLiq,Status_ROE,Status_ROA
65.01856608,152.0729699,85.05657521,2.627997959,13.38315657,1.108984234,0.951173993,0.30293214,Bom,Ruim,Bom,Medio,Bom
62.59386261,195.5767258,95.22401492,2.454357291,14.37784476,1.008874335,0.856512652,0.253134252,Bom,Ruim,Bom,Medio,Bom
59.82024215,137.3656133,79.377408,8.006599497,16.93069173,5.498034352,7.527274095,2.120619178,Bom,Ruim,Bom,Medio,Bom
39.94369111,115.7804689,76.15800107,6.996260208,16.29955043,4.405636374,6.636987233,1.963625247,Bom,Ruim,Bom,Medio,Bom
90.45414958,171.3955757,87.44597863,6.381905047,15.99005998,4.11232011,4.067547125,1.23757362,Bom,Ruim,Bom,Medio,Bom
140.6427198,59.79857995,107.0019914,2.043334637,46.30852544,-0.777740845,-0.452852745,-0.181788992,Bom,Bom,Bom,Medio,Bom
95.01978888,39.41608003,90.12404892,0.768971554,42.28798808,-2.567756909,-1.748388677,-0.693836599,Bom,Medio,Bom,Medio,Bom
94.71908182,43.08952735,87.53748871,-0.340325872,41.56994212,-3.606811871,-2.3760311,-0.888213498,Bom,Medio,Bom,Medio,Bom
55.87643178,34.826925,78.88225079,5.621380076,44.02164916,1.765505374,1.48943788,0.591214755,Bom,Medio,Bom,Medio,Bom
123.9984223,54.40036173,97.23639125,1.412191222,48.75190431,-2.823560733,-1.552832783,-0.638684164,Bom,Bom,Bom,Medio,Bom
66.92844588,48.31067758,86.37007233,2.135515047,42.62839709,-2.355247734,-1.700994172,-0.670641541,Bom,Medio,Bom,Medio,Bom
102.6075084,75.77814306,94.93572149,-5.68009345,46.04991934,-7.377446501,-4.431363976,-1.704549627,Bom,Bom,Bom,Medio,Bom
69.03739956,59.80412345,72.96229124,2.376814098,47.10901918,-0.719821418,-0.589256213,-0.226962511,Bom,Bom,Bom,Medio,Bom
125.8841718,129.8850668,90.62605008,10.11780381,52.07350958,2.396048291,1.446832393,0.544771289,Bom,Bom,Bom,Medio,Bom
106.361758,81.32822692,81.73838573,0.496424702,47.97544995,-3.4253726,-2.397698493,-0.934777974,Bom,Bom,Bom,Medio,Bom
99.0647482,92.523418,88.02992323,-0.559692856,42.67566851,-7.081026412,-5.138418175,-1.835152551,Bom,Medio,Bom,Medio,Bom
88.21476347,74.55318132,86.25487842,5.995808834,48.91480875,-0.039015423,-0.033998264,-0.011508325,Bom,Bom,Bom,Medio,Bom
149.8994794,128.4907753,90.99059705,0.730491213,50.82044356,-6.978739308,-4.386590147,-1.548247236,Bom,Bom,Bom,Medio,Bom
106.5156258,96.43439161,87.42400125,1.858616961,47.48062521,-5.364924458,-4.125566237,-1.440098061,Bom,Bom,Bom,Medio,Bom
81.65486016,85.91332122,85.64058996,-1.410336933,39.68456134,-7.735722852,-6.229573222,-2.052695545,Bom,Medio,Bom,Medio,Bom
70.04965554,95.04579942,84.53381817,34.09285361,41.9354758,19.95554455,17.75403426,5.04521992,Bom,Medio,Bom,Bom,Bom
137.2147232,143.9253508,101.4030416,2.006566162,50.38776742,-6.758846539,-4.285279099,-1.139122654,Bom,Bom,Bom,Medio,Bom
101.6758553,110.3099782,97.67785427,1.488783417,43.89491588,-4.097631507,-3.076240359,-0.795054096,Bom,Medio,Bom,Medio,Bom
101.6409677,111.7114994,98.24436543,-4.80630269,43.00166313,-10.89450594,-8.706866424,-2.17779649,Bom,Medio,Bom,Medio,Bom
