PME,PMP,PMR,MgEBIT,MgBru,MgLiq,ROE,ROA,Status_MgEBIT,Status_MgBru,Status_MgLiq,Status_ROE,Status_ROA
49.88924957,67.77926294,2.874043145,2.907291425,19.01337663,0.943323282,1.20881843,0.332796858,Ruim,Ruim,Ruim,Ruim,Ruim
46.85737977,65.86235489,3.298709007,4.021368156,19.46876391,1.684226146,2.002470007,0.570280116,Ruim,Ruim,Ruim,Ruim,Ruim
48.97024977,62.43457506,2.915179797,5.146856986,19.49629426,3.300850947,3.86562726,1.203312236,Ruim,Ruim,Ruim,Ruim,Ruim
-114.8498294,-155.3651877,-3.315789474,-8.097165992,40.68825911,-14.69635628,10.29203289,3.857393337,Ruim,Medio,Ruim,Medio,Medio
38.94219872,46.73970533,1.895639289,5.112193057,15.95046571,2.540220152,16,1.36239782,Ruim,Ruim,Ruim,Medio,Ruim
126.3470718,87.25376266,69.37417312,24.98568391,44.1527839,14.92690569,15.21064034,5.7961606,Ruim,Medio,Ruim,Medio,Bom
97.91727984,83.08264271,65.86946144,20.10206041,36.24022607,8.237263025,8.974818854,2.555917071,Ruim,Medio,Ruim,Medio,Medio
147.8737455,110.5309136,58.17088368,31.35482918,46.74377602,19.58857575,23.09142498,6.645777744,Medio,Medio,Ruim,Bom,Bom
102.4816642,60.66173529,63.32797303,26.1479272,44.89128085,18.64090261,20.71982683,7.257702115,Ruim,Medio,Ruim,Bom,Bom
137.0337921,83.12481842,73.92843487,23.78228822,41.50734982,15.33902626,12.31427755,4.573683427,Ruim,Medio,Ruim,Medio,Medio
90.99436326,64.63101536,75.20579003,30.34429267,42.54817015,20.65523996,23.53129986,8.676612898,Medio,Medio,Ruim,Bom,Bom
109.3004375,74.63876737,65.99748931,31.90344786,45.02348586,19.3978874,19.46716505,6.894528031,Medio,Medio,Ruim,Bom,Bom
142.9059511,64.94201304,57.02591793,36.23020158,46.84575234,25.91027718,22.5574631,7.797883116,Medio,Medio,Medio,Bom,Bom
155.4766719,100.1905677,78.75616348,30.92013952,45.80791848,14.33945725,11.17672701,3.925602533,Medio,Medio,Ruim,Medio,Medio
111.7859943,73.74732733,74.66635209,33.25303225,44.97192049,22.89574415,28.07311373,6.112680796,Medio,Medio,Ruim,Bom,Bom
168.7657114,89.31017526,81.17951258,35.68621623,49.6344363,24.93164256,28.47310352,5.995430646,Medio,Medio,Medio,Bom,Bom
166.1778121,67.48718758,65.94918761,31.44382842,47.49830537,21.80735338,28.20007847,5.788979472,Medio,Medio,Ruim,Bom,Bom
209.01812,63.24864889,81.03554433,37.87929893,52.39813815,26.42060786,32.65990714,6.032265427,Medio,Medio,Medio,Bom,Bom
43.65586874,47.25283971,5.220575855,4.588314531,19.95285402,1.675366223,2.327893783,0.767746914,Ruim,Ruim,Ruim,Ruim,Ruim
43.73420302,56.00693029,6.256606228,4.780876494,20.22115619,2.431091959,3.402754069,1.086996037,Ruim,Ruim,Ruim,Ruim,Ruim
42.8261975,51.32004475,7.593250444,8.646859357,20.61198127,4.690779913,5.41371599,2.055109476,Ruim,Ruim,Ruim,Ruim,Medio
41.3900644,77.91168353,6.777721076,6.554640228,20.75526719,4.619085806,4.934963782,1.870240274,Ruim,Ruim,Ruim,Ruim,Medio
44.982,59.931,7.461734694,4.735331633,20.28061225,2.646683674,2.514199167,1.066872329,Ruim,Ruim,Ruim,Ruim,Ruim
42.62108811,55.55994222,5.588820827,5.444104135,20.48238897,3.36906585,3.287507472,1.374828147,Ruim,Ruim,Ruim,Ruim,Ruim
43.50042005,51.8258191,7.027808676,5.46533185,20.55617353,2.90693363,2.874216373,1.218147918,Ruim,Ruim,Ruim,Ruim,Ruim
39.18221921,79.5783848,42.49769403,7.082619581,22.33495849,4.605349849,5.0240782,1.90582654,Ruim,Ruim,Ruim,Ruim,Medio
51.93817878,63.42522974,49.64448028,6.157454919,21.03064067,3.701803255,3.53085125,1.4162717,Ruim,Ruim,Ruim,Ruim,Ruim
41.62413587,54.02150721,47.76819663,-0.285171103,20.44405215,-2.899239544,-2.989986696,-1.16733645,Ruim,Ruim,Ruim,Ruim,Ruim
46.70023238,52.15336948,51.27358169,5.884356058,20.8676701,3.439351631,3.600456295,1.350050794,Ruim,Ruim,Ruim,Ruim,Ruim
39.64238116,81.21057308,50.95996708,6.578096526,20.60431486,4.379519135,5.182067958,1.65879943,Ruim,Ruim,Ruim,Ruim,Ruim
47.14355628,54.99836868,55.08484494,5.480787985,20.29126845,2.76314934,2.846903574,1.012941821,Ruim,Ruim,Ruim,Ruim,Ruim
43.41184388,61.07671602,50.94086822,6.794497707,20.35967367,4.341094504,4.698527279,1.610800539,Ruim,Ruim,Ruim,Ruim,Ruim
47.39309878,54.65155616,51.48644198,5.549456581,18.87144582,3.760017565,4.284865355,1.473720445,Ruim,Ruim,Ruim,Ruim,Ruim
41.15368646,76.99566997,46.50367806,7.255156498,18.94321842,4.831963075,6.065361055,1.939255943,Ruim,Ruim,Ruim,Medio,Medio
50.91852694,58.69259207,59.67594732,7.578558226,18.75,5.504852126,5.437170161,1.883361989,Ruim,Ruim,Ruim,Ruim,Medio
64.97104983,52.70592717,8.102065133,0.104299619,30.38795923,-2.225294249,-1.359683043,-0.525385713,Ruim,Ruim,Ruim,Ruim,Ruim
79.3100859,65.05211383,7.90012394,-2.163609947,32.61615304,-6.052630357,-2.869570863,-1.079325767,Ruim,Ruim,Ruim,Ruim,Ruim
65.24738536,66.97908286,20.3598251,1.596647913,32.00399637,0.5671652,0.235613827,0.09979046,Ruim,Ruim,Ruim,Ruim,Ruim
94.06779661,94.97492096,30.5041586,3.232406669,40.08915347,8.527496107,2.171457238,1.234589963,Ruim,Medio,Ruim,Ruim,Ruim
79.27012946,74.9260694,26.94064622,-2.45141653,33.41411067,-3.302895497,-1.017396959,-0.587453047,Ruim,Medio,Ruim,Ruim,Ruim
77.53012018,28.85695074,37.93145453,5.966682335,24.28508078,4.487157908,5.387719865,2.487568035,Ruim,Ruim,Ruim,Ruim,Medio
71.64272795,31.31485811,32.03993193,8.693340148,26.33504656,6.987183701,8.650139769,3.688056785,Ruim,Ruim,Ruim,Medio,Medio
67.25081553,30.45196594,24.62221881,7.587209614,23.02737361,6.478487374,9.682405211,4.091088999,Ruim,Ruim,Ruim,Medio,Medio
84.70916617,30.5694779,32.31957453,5.906204062,23.49946194,5.320749672,4.683785458,2.35921232,Ruim,Ruim,Ruim,Ruim,Medio
92.71666913,25.23957169,34.20455745,5.398133941,23.85526101,4.661132514,2.708653796,1.915539989,Ruim,Ruim,Ruim,Ruim,Medio
147.7649359,157.84022,120.9402303,19.32813509,61.88586598,7.633940637,1.205397908,0.635063543,Ruim,Bom,Ruim,Ruim,Ruim
157.3513725,158.3079898,122.5181333,18.68455615,62.30927848,8.829200652,1.45404941,0.777345023,Ruim,Bom,Ruim,Ruim,Ruim
163.5611732,161.0015082,122.4245661,17.50263201,60.74918159,5.713644698,0.977071889,0.506906638,Ruim,Bom,Ruim,Ruim,Ruim
146.2149266,38.82952692,117.7443584,35.64334056,73.32524275,121.857152,11.8107668,7.57015563,Medio,Bom,Bom,Medio,Bom
179.7716718,55.99151953,128.1432878,35.9696479,75.77531314,21.85757954,1.948297725,1.354300979,Medio,Bom,Ruim,Ruim,Ruim
176.3903934,64.16124728,132.7392583,29.63942948,75.0495655,24.96942228,2.237599885,1.626071095,Medio,Bom,Medio,Ruim,Ruim
149.8397732,49.25139875,131.0368428,28.86348195,72.93626881,-25.19354613,-2.381399513,-1.849885107,Medio,Bom,Ruim,Ruim,Ruim
127.5877329,48.62465586,132.7901145,35.83750744,74.67487262,19.77328373,2.117262669,1.7246549,Medio,Bom,Ruim,Ruim,Medio
142.4621642,55.9318863,137.2026015,35.25837935,74.78792032,22.87269118,2.38149195,1.859850338,Medio,Bom,Ruim,Ruim,Medio
129.9562474,58.3107547,137.7723492,28.67140852,74.64509438,18.57713017,2.232829382,1.786127766,Medio,Bom,Ruim,Ruim,Medio
174.3000715,68.32517119,121.9322613,28.02538678,74.01297005,45.2820876,5.188259499,4.039095253,Medio,Bom,Medio,Ruim,Medio
189.348706,75.65196581,124.6683753,36.95562674,74.33093066,32.3065217,3.831080139,3.096253257,Medio,Bom,Medio,Ruim,Medio
189.2617706,66.31330435,125.2630052,34.53695311,72.65368053,30.19342259,3.478227009,2.810771706,Medio,Bom,Medio,Ruim,Medio
184.2036672,65.96707952,129.2574251,27.91588106,70.66892766,25.53341055,2.984583886,2.363984512,Medio,Bom,Medio,Ruim,Medio
184.5722132,61.28423687,141.3984505,32.80045884,68.63224329,33.39697784,3.768496576,2.93429477,Medio,Bom,Medio,Ruim,Medio
302.2907678,67.25043119,229.8043423,96.83454213,48.45611584,83.73316509,3.848004413,3.109933599,Bom,Medio,Bom,Ruim,Medio
191.2851731,53.58019927,104.7155344,25.91639898,68.32607912,34.61323921,3.967939001,3.201193052,Ruim,Bom,Medio,Ruim,Medio
183.0814471,72.92520286,110.0534623,26.58982106,67.51436644,26.474077,3.10660383,2.464140028,Ruim,Bom,Medio,Ruim,Medio
159.4318406,80.07753322,127.3223518,20.85191435,59.59534391,25.71175038,2.75197005,2.00308319,Ruim,Bom,Medio,Ruim,Medio
230.6847713,64.08149308,130.9671645,26.78864143,66.63026728,29.2269506,2.722569972,1.968103388,Ruim,Bom,Medio,Ruim,Medio
200.4626877,57.36427911,121.0218621,39.79851384,65.70727677,37.73586522,4.443111156,2.53482926,Medio,Bom,Medio,Ruim,Medio
204.6224294,64.98059753,122.1950359,33.41166765,63.96701139,31.75286657,3.766917145,2.024618253,Medio,Bom,Medio,Ruim,Medio
190.4390329,56.98697723,124.0612752,28.09028169,61.65468856,27.74512534,3.39728488,1.825324453,Medio,Bom,Medio,Ruim,Medio
236.6651916,73.33442567,118.8183834,28.25422637,64.29442582,26.05704174,3.282069068,1.698096468,Medio,Bom,Medio,Ruim,Medio
61.2710309,76.28250229,23.79923318,3.990937609,24.03857325,1.463924712,1.743281104,0.586482964,Ruim,Ruim,Ruim,Ruim,Ruim
60.34291313,75.61969301,14.72351517,2.525910755,23.98684292,-0.086886365,-0.097171612,-0.033763415,Ruim,Ruim,Ruim,Ruim,Ruim
62.96419583,78.8568645,21.01903695,0.982953839,23.37314919,-0.802538261,-0.915575429,-0.30519542,Ruim,Ruim,Ruim,Ruim,Ruim
52.75943242,91.26528477,14.57692114,2.376507392,22.83667188,-1.942580352,-2.836618162,-0.814970047,Ruim,Ruim,Ruim,Ruim,Ruim
59.49130529,70.45313515,26.94328795,0.995836615,22.02655564,-0.883312704,-1.179209854,-0.361052341,Ruim,Ruim,Ruim,Ruim,Ruim
64.68976049,74.27423244,23.24982019,-0.011987533,25.42555742,-3.488372093,-4.44971138,-1.384593424,Ruim,Ruim,Ruim,Ruim,Ruim
62.60038917,67.82239519,23.29601166,1.682787863,25.09606466,-2.047171061,-2.421724989,-0.736485842,Ruim,Ruim,Ruim,Ruim,Ruim
50.30155048,57.58637529,5.816906748,2.96626232,22.37490523,2.028051554,1.683846093,0.517008118,Ruim,Ruim,Ruim,Ruim,Ruim
51.13977667,59.74586061,4.237081497,4.267091813,26.93425865,1.59429804,1.316757678,0.414522933,Ruim,Ruim,Ruim,Ruim,Ruim
48.81891607,57.88950018,8.57928506,1.860678277,21.69569203,0.650779102,0.544645597,0.17011285,Ruim,Ruim,Ruim,Ruim,Ruim
46.13863491,77.77163513,4.547126069,4.30090335,24.80613958,3.277640099,3.110301927,0.855449841,Ruim,Ruim,Ruim,Ruim,Ruim
48.6834925,56.38813097,6.799788416,2.477298775,22.45437715,1.992418232,1.70167909,0.497621983,Ruim,Ruim,Ruim,Ruim,Ruim
53.27186816,66.06085052,2.262420382,6.369426752,26.30997877,4.458598726,3.887449093,1.129202246,Ruim,Ruim,Ruim,Ruim,Ruim
52.23677318,60.71346255,6.996492373,3.197650706,22.13883677,1.125703565,1.003563377,0.288238611,Ruim,Ruim,Ruim,Ruim,Ruim
49.16882396,76.93602071,2.46663336,5.381485975,22.80351153,2.076939548,2.101007184,0.550625367,Ruim,Ruim,Ruim,Ruim,Ruim
52.04075457,58.84091597,5.417420726,3.603745377,22.00015737,1.723188292,1.585864803,0.379733666,Ruim,Ruim,Ruim,Ruim,Ruim
49.91522947,59.86845952,2.181025915,3.141961624,21.54269551,3.050225518,3.269419862,1.214020568,Ruim,Ruim,Ruim,Ruim,Ruim
51.12656206,57.76472799,2.422360248,3.371783496,21.30286897,1.227447501,1.537891421,0.392918008,Ruim,Ruim,Ruim,Ruim,Ruim
56.99955973,98.31449956,3.777495526,3.769990185,21.3209399,0.415680388,0.589970501,0.123129543,Ruim,Ruim,Ruim,Ruim,Ruim
56.234059,69.7810125,4.481251905,1.595366325,21.11574027,-0.553805508,-0.793968751,-0.182882838,Ruim,Ruim,Ruim,Ruim,Ruim
50.59489388,67.60935097,3.488876047,4.411056535,21.72300876,1.839545411,2.587287074,0.60552262,Ruim,Ruim,Ruim,Ruim,Ruim
53.26178199,64.59947236,3.031142844,4.570435436,21.65907276,2.005730659,2.680308832,0.675205566,Ruim,Ruim,Ruim,Ruim,Ruim
57.61410382,100.7012733,4.180094787,11.79417739,30.87339201,11.04942451,9.876244364,3.062200957,Ruim,Ruim,Ruim,Medio,Medio
66.22678397,75.88465298,4.307741728,2.626084163,26.06007067,1.019916479,0.747256627,0.253827397,Ruim,Ruim,Ruim,Ruim,Ruim
61.2710309,76.28250229,23.79923318,3.990937609,24.03857325,1.463924712,1.743281104,0.586482964,Ruim,Ruim,Ruim,Ruim,Ruim
60.34291313,75.61969301,14.72351517,2.525910755,23.98684292,-0.086886365,-0.097171612,-0.033763415,Ruim,Ruim,Ruim,Ruim,Ruim
62.96419583,78.8568645,21.01903695,0.982953839,23.37314919,-0.802538261,-0.915575429,-0.30519542,Ruim,Ruim,Ruim,Ruim,Ruim
52.75943242,91.26528477,14.57692114,2.376507392,22.83667188,-1.942580352,-2.836618162,-0.814970047,Ruim,Ruim,Ruim,Ruim,Ruim
59.49130529,70.45313515,26.94328795,0.995836615,22.02655564,-0.883312704,-1.179209854,-0.361052341,Ruim,Ruim,Ruim,Ruim,Ruim
64.68976049,74.27423244,23.24982019,-0.011987533,25.42555742,-3.488372093,-4.44971138,-1.384593424,Ruim,Ruim,Ruim,Ruim,Ruim
62.60038917,67.82239519,23.29601166,1.682787863,25.09606466,-2.047171061,-2.421724989,-0.736485842,Ruim,Ruim,Ruim,Ruim,Ruim
50.30155048,57.58637529,5.816906748,2.96626232,22.37490523,2.028051554,1.683846093,0.517008118,Ruim,Ruim,Ruim,Ruim,Ruim
51.13977667,59.74586061,4.237081497,4.267091813,26.93425865,1.59429804,1.316757678,0.414522933,Ruim,Ruim,Ruim,Ruim,Ruim
48.81891607,57.88950018,8.57928506,1.860678277,21.69569203,0.650779102,0.544645597,0.17011285,Ruim,Ruim,Ruim,Ruim,Ruim
46.13863491,77.77163513,4.547126069,4.30090335,24.80613958,3.277640099,3.110301927,0.855449841,Ruim,Ruim,Ruim,Ruim,Ruim
48.6834925,56.38813097,6.799788416,2.477298775,22.45437715,1.992418232,1.70167909,0.497621983,Ruim,Ruim,Ruim,Ruim,Ruim
53.27186816,66.06085052,2.262420382,6.369426752,26.30997877,4.458598726,3.887449093,1.129202246,Ruim,Ruim,Ruim,Ruim,Ruim
52.23677318,60.71346255,6.996492373,3.197650706,22.13883677,1.125703565,1.003563377,0.288238611,Ruim,Ruim,Ruim,Ruim,Ruim
