PME,PMP,PMR,MgEBIT,MgBru,MgLiq,ROE,ROA,Status_MgEBIT,Status_MgBru,Status_MgLiq,Status_ROE,Status_ROA
178.0151964,130.5002454,43.79628079,13.93075523,69.84301976,7.26319117,9.582975386,1.349159648,Bom,Bom,Bom,Medio,Bom
132.3277482,109.4478513,41.37859384,15.78718985,69.43013428,6.138183922,10.19810679,1.385168071,Bom,Bom,Bom,Medio,Bom
157.3001153,145.4620511,40.83759836,16.88509108,69.02030929,6.529434311,13.76367707,1.338243512,Bom,Medio,Bom,Bom,Bom
121.6600925,101.3612543,35.07558442,16.57189406,69.43550168,6.635325895,15.55797044,1.647305088,Bom,Bom,Bom,Bom,Bom
187.1451585,137.7978061,42.13693429,9.109540682,69.17697273,-4.043496453,-6.804293528,-0.772837581,Medio,Medio,Ruim,Ruim,Ruim
146.4956898,104.5960613,42.55794907,13.84068782,68.47997046,4.52055579,10.35745673,1.080211907,Bom,Medio,Bom,Medio,Medio
162.6309717,110.6717063,44.80456409,13.21338825,70.20697543,4.003378547,8.484487306,0.958363625,Bom,Bom,Bom,Medio,Medio
104.3722514,101.7523383,41.25619686,17.30840297,68.58804068,9.099965486,21.37228321,2.479558762,Bom,Medio,Bom,Bom,Bom
146.7744423,131.3869346,49.40342715,17.19494367,69.92156112,10.9321552,17.19683116,2.424740581,Bom,Bom,Bom,Bom,Bom
127.9770462,128.966402,41.75573435,11.4525039,70.12057839,8.071155419,12.77884133,2.113064395,Bom,Bom,Bom,Bom,Bom
190.4735543,178.9782089,48.31034378,15.52860335,70.85851911,2.576791794,4.400564582,0.410615535,Bom,Bom,Medio,Medio,Medio
102.0989643,127.5298696,36.35627642,12.37881946,70.62528463,6.879925848,16.85544027,1.716989152,Bom,Bom,Bom,Bom,Bom
177.9480696,164.6974099,45.94064427,7.091611705,72.6172466,0.907417922,1.448917604,0.171878111,Medio,Bom,Medio,Ruim,Medio
153.1540448,139.2845817,39.28847416,6.121788027,71.133004,1.025857069,1.596211895,0.222018121,Medio,Bom,Medio,Ruim,Medio
167.8219487,150.5513634,41.63750169,10.48526451,73.25375659,4.09759456,5.587109104,0.897538034,Bom,Bom,Bom,Medio,Medio
97.17002314,123.6663621,35.11565919,12.53557587,70.84560714,8.802563423,15.03585599,2.481418668,Bom,Bom,Bom,Bom,Bom
170.7756818,169.1252169,44.43285937,6.335797472,72.24252611,0.462206061,0.507690815,0.083724621,Medio,Bom,Medio,Ruim,Medio
151.2602392,157.969219,40.62416911,8.376215476,71.6616491,1.643001796,2.058644666,0.338202126,Medio,Bom,Medio,Ruim,Medio
165.8244782,162.5607488,40.85624512,7.641153263,72.15900766,1.835571759,2.215149582,0.361766494,Medio,Bom,Medio,Ruim,Medio
99.60598427,127.4018017,32.61341056,13.241729,72.21457444,0.479488981,0.694859686,0.105293905,Bom,Bom,Medio,Ruim,Medio
126.3272765,159.5952579,33.21589243,-6.684509192,61.70890799,-10.97286058,-6.973922954,-1.471561768,Ruim,Ruim,Ruim,Ruim,Ruim
169.783221,216.3315915,34.06439937,-0.743747835,66.00192066,-5.611462707,-1.799828208,-0.641781383,Ruim,Medio,Ruim,Ruim,Ruim
125.078237,164.2735507,31.24572126,7.158211551,64.53352503,3.624750829,1.576973602,0.58718644,Medio,Ruim,Medio,Ruim,Medio
95.55605244,142.446705,26.98763869,4.803190324,64.32485174,1.464182369,0.675451071,0.288360028,Medio,Ruim,Medio,Ruim,Medio
144.725311,177.5680391,32.0790363,1.403458228,64.86048283,-1.655746074,-0.558104953,-0.253245988,Medio,Ruim,Medio,Ruim,Ruim
