PME,PMP,PMR,MgEBIT,MgBru,MgLiq,ROE,ROA,Status_MgEBIT,Status_MgBru,Status_MgLiq,Status_ROE,Status_ROA
21.67016366,30.57370661,10.37778866,-0.567285671,61.49817786,-5.12813937,-3.770539408,-1.49197938,Bom,Bom,Bom,Bom,Bom
24.24765229,40.79214942,9.132018039,5.382636626,62.14273709,1.609725581,1.316603408,0.515008125,Bom,Bom,Bom,Bom,Bom
20.20696674,38.99493467,9.441872225,3.126544931,61.62837684,-1.107045223,-0.815888531,-0.331956948,Bom,Bom,Bom,Bom,Bom
17.39849697,60.84942968,10.49925938,5.857992016,60.65614869,4.176187578,1.904106236,0.903394872,Bom,Bom,Bom,Bom,Bom
24.24827921,50.19029881,10.99370193,0.594368421,61.61163371,1.825796999,0.543430657,0.374927919,Bom,Bom,Bom,Bom,Bom
26.11113818,56.63501267,11.17936205,2.210384168,61.77136205,1.596647264,0.526294462,0.35639759,Bom,Bom,Bom,Bom,Bom
25.19839202,64.10915174,10.00252105,6.486144034,62.61623034,4.424774415,1.64048998,1.092988762,Bom,Bom,Bom,Bom,Bom
26.8477846,79.68945444,7.470368612,10.0914531,62.05733957,11.64575189,4.948410784,3.311052442,Bom,Bom,Bom,Bom,Bom
25.54126213,58.6861658,10.47642881,0.704317439,61.74696577,0.458572878,0.175351479,0.100080268,Bom,Bom,Bom,Bom,Bom
29.73264881,70.2367172,10.68544527,2.336254329,63.34369466,-0.081519608,-0.031237448,-0.019011354,Bom,Bom,Bom,Bom,Bom
28.20816817,64.96817222,7.498952741,3.738748018,61.77498939,0.753611487,0.309713445,0.185628708,Bom,Bom,Bom,Bom,Bom
29.31074282,84.76827464,6.761563134,9.215034906,62.14886793,5.141411212,2.332633491,1.170841766,Bom,Bom,Bom,Bom,Bom
30.28449357,41.07795599,9.908655046,-10.9359738,59.1083044,-8.572467408,-3.159779789,-1.622506186,Bom,Bom,Bom,Bom,Bom
62.24931863,98.76639612,20.34963315,-60.08662267,54.50704322,-63.79882773,-11.36749546,-5.280319431,Bom,Bom,Bom,Medio,Medio
50.84585706,73.44021669,14.5061901,-18.97772485,61.19329256,-20.28160816,-7.064164875,-3.035147111,Bom,Bom,Bom,Bom,Bom
36.15670246,62.63953254,12.46373703,-5.316802735,59.60343618,-12.56552011,-5.918516564,-2.472999208,Bom,Bom,Bom,Bom,Bom
45.73501813,54.33658123,11.75811225,-22.39452517,58.51539795,-28.87099498,-9.235300556,-4.414743009,Bom,Bom,Bom,Medio,Medio
