PME,PMP,PMR,MgEBIT,MgBru,MgLiq,ROE,ROA,Status_MgEBIT,Status_MgBru,Status_MgLiq,Status_ROE,Status_ROA
90.02357873,38.31206258,79.93442232,8.773498669,46.90393864,9.945948094,2.561523915,1.736828042,Bom,Bom,Medio,Ruim,Medio
77.95670161,18.13493421,69.20011405,7.109910937,46.07772429,6.789554016,2.02483018,1.479110488,Bom,Bom,Medio,Ruim,Medio
90.40131425,24.16937674,60.79667916,1.94193907,46.51688214,5.173124854,1.41849551,1.04170804,Bom,Bom,Medio,Ruim,Medio
75.97410203,6.453669964,56.90990516,-3.027748507,46.02037232,2.049525817,0.578696816,0.435746931,Bom,Bom,Medio,Ruim,Medio
82.31508668,21.24844146,68.3788122,4.278134475,44.57151775,8.041287676,1.800830269,1.29471096,Bom,Bom,Medio,Ruim,Medio
78.95005097,24.93374108,62.69858103,-1.578043142,43.82039154,1.15171697,0.268318414,0.20292314,Bom,Bom,Medio,Ruim,Medio
84.3893426,26.0145597,62.92690746,-12.85531096,42.16499252,-9.175037401,-2.14118451,-1.620195646,Medio,Bom,Medio,Ruim,Medio
70.43040805,11.2118502,42.61007717,-56.04478741,41.99468258,-52.13885827,-12.94812644,-10.32046894,Ruim,Bom,Ruim,Ruim,Ruim
105.6635026,43.9663028,62.2150053,-0.546129374,44.14103924,3.056733828,0.65959023,0.477994826,Bom,Bom,Medio,Ruim,Medio
105.2542373,16.08479145,57.72199103,-20.03999352,40.85013241,-8.485110523,-1.806549605,-1.372041808,Medio,Bom,Medio,Ruim,Medio
79.22330097,21.15482882,51.44356445,-1.28516593,42.94737865,0.558767796,0.133443956,0.100589542,Bom,Bom,Medio,Ruim,Medio
72.66007841,12.00343025,50.59543909,-15.32589827,41.76872042,-10.93857751,-2.703147404,-2.126056673,Medio,Bom,Medio,Ruim,Ruim
107.1159926,34.71764962,64.19318632,-4.139706853,39.43615476,-1.214842203,-0.219455179,-0.168190897,Bom,Bom,Medio,Ruim,Medio
85.9006295,21.73111511,61.98574338,-3.651844309,37.08983933,0.03960172,0.00835766,0.006387269,Bom,Bom,Medio,Ruim,Medio
88.49524564,19.97543582,60.53814551,6.088472746,39.7124158,4.633831749,1.151417312,0.878806273,Bom,Bom,Medio,Ruim,Medio
76.60035524,8.1669627,61.3372093,3.332854819,39.38415159,4.325772801,1.061269532,0.833248841,Bom,Bom,Medio,Ruim,Medio
