PME,PMP,PMR,MgEBIT,MgBru,MgLiq,ROE,ROA,Status_MgEBIT,Status_MgBru,Status_MgLiq,Status_ROE,Status_ROA
2.866299904,38.64281028,27.14165048,-40.08221415,44.21544612,-41.18309542,-13.4361537,-5.182872815,Bom,Bom,Bom,Bom,Medio
3.403707518,70.92173018,59.83254179,-19.28699192,46.0988096,-24.15654105,-7.081382104,-2.8756879,Bom,Bom,Bom,Bom,Bom
2.892370314,74.86084816,33.71178149,29.06814785,64.11197174,25.23440685,13.29889847,5.472165845,Bom,Bom,Bom,Bom,Bom
1.807228916,25.33550259,15.11385346,-101.9793119,41.28672484,-104.6918297,-77.09769824,-22.81463089,Bom,Bom,Bom,Medio,Ruim
5.37727667,111.6825672,14.19335044,-77.22860649,42.11201607,-85.13890439,-32.87594511,-5.78071026,Bom,Bom,Bom,Medio,Medio
3.745814065,78.60468825,37.80189483,-52.14296456,37.12968069,-57.84751115,-29.25295952,-4.454669683,Bom,Bom,Bom,Medio,Medio
3.831351548,84.32241082,55.16994134,5.317068628,65.8037682,1.316075364,0.964348667,0.158121634,Bom,Bom,Bom,Bom,Bom
0.930904127,23.58684238,20.29189257,12.49527172,19.95124617,11.19026604,7.863841099,1.867608479,Bom,Bom,Bom,Bom,Bom
3.62305581,57.11253431,24.00324441,-110.9108387,34.33068974,-113.2900745,-23.65946234,-6.784783892,Bom,Bom,Bom,Bom,Medio
3.689083411,69.7138288,29.30404738,-75.70472743,34.84150488,-79.86179664,-22.5449366,-5.594314253,Bom,Bom,Bom,Bom,Medio
3.743232158,55.73502871,36.86474182,-22.85451859,51.31983547,-25.70584242,-10.05145182,-2.393853409,Bom,Bom,Bom,Bom,Bom
3.86550308,70.06416838,26.77587818,-79.2314881,35.74844703,-83.49183662,-27.41986442,-5.949778666,Bom,Bom,Bom,Medio,Medio
3.534368297,50.06945154,6.064542318,-111.9748326,0.639334281,-115.607875,-79.39920894,-9.2781574,Bom,Bom,Bom,Ruim,Medio
2.817521279,49.1309944,8.368878005,-1.451469279,46.3824577,-2.569011576,-6.867412521,-0.467074109,Bom,Bom,Bom,Bom,Bom
3.306663859,53.84461522,7.127901684,-98.88231427,3.919486168,-102.8877763,-131.3660285,-8.447627946,Bom,Bom,Bom,Ruim,Medio
2.292948968,42.38449552,24.66668857,7.36603476,15.66185892,5.654302329,8.210094457,0.655264581,Bom,Bom,Bom,Bom,Bom
1.959586104,43.76254911,11.02531275,-9.98792889,28.76764943,-10.2622723,-22.94887526,-2.093625468,Bom,Bom,Bom,Bom,Bom
3.181259174,36.18994724,5.754044253,-49.72087527,-2.713825843,-51.38747402,-81.7621888,-5.127819365,Bom,Bom,Bom,Ruim,Medio
2.562823772,25.96994755,3.958930019,8.828244619,44.01693236,5.276051518,27.45594301,1.138412985,Bom,Bom,Bom,Bom,Bom
1.194742349,18.61855872,19.20506869,0.857465403,22.4120654,-10.95297893,-109.4215295,-2.845196281,Bom,Bom,Bom,Ruim,Bom
2.866299904,38.64281028,27.14165048,-40.08221415,44.21544612,-41.18309542,-13.4361537,-5.182872815,Bom,Bom,Bom,Bom,Medio
3.403707518,70.92173018,59.83254179,-19.28699192,46.0988096,-24.15654105,-7.081382104,-2.8756879,Bom,Bom,Bom,Bom,Bom
2.892370314,74.86084816,33.71178149,29.06814785,64.11197174,25.23440685,13.29889847,5.472165845,Bom,Bom,Bom,Bom,Bom
1.807228916,25.33550259,15.11385346,-101.9793119,41.28672484,-104.6918297,-77.09769824,-22.81463089,Bom,Bom,Bom,Medio,Ruim
5.37727667,111.6825672,14.19335044,-77.22860649,42.11201607,-85.13890439,-32.87594511,-5.78071026,Bom,Bom,Bom,Medio,Medio
3.745814065,78.60468825,37.80189483,-52.14296456,37.12968069,-57.84751115,-29.25295952,-4.454669683,Bom,Bom,Bom,Medio,Medio
3.831351548,84.32241082,55.16994134,5.317068628,65.8037682,1.316075364,0.964348667,0.158121634,Bom,Bom,Bom,Bom,Bom
0.930904127,23.58684238,20.29189257,12.49527172,19.95124617,11.19026604,7.863841099,1.867608479,Bom,Bom,Bom,Bom,Bom
3.62305581,57.11253431,24.00324441,-110.9108387,34.33068974,-113.2900745,-23.65946234,-6.784783892,Bom,Bom,Bom,Bom,Medio
3.689083411,69.7138288,29.30404738,-75.70472743,34.84150488,-79.86179664,-22.5449366,-5.594314253,Bom,Bom,Bom,Bom,Medio
3.743232158,55.73502871,36.86474182,-22.85451859,51.31983547,-25.70584242,-10.05145182,-2.393853409,Bom,Bom,Bom,Bom,Bom
3.86550308,70.06416838,26.77587818,-79.2314881,35.74844703,-83.49183662,-27.41986442,-5.949778666,Bom,Bom,Bom,Medio,Medio
3.534368297,50.06945154,6.064542318,-111.9748326,0.639334281,-115.607875,-79.39920894,-9.2781574,Bom,Bom,Bom,Ruim,Medio
2.817521279,49.1309944,8.368878005,-1.451469279,46.3824577,-2.569011576,-6.867412521,-0.467074109,Bom,Bom,Bom,Bom,Bom
3.306663859,53.84461522,7.127901684,-98.88231427,3.919486168,-102.8877763,-131.3660285,-8.447627946,Bom,Bom,Bom,Ruim,Medio
2.292948968,42.38449552,24.66668857,7.36603476,15.66185892,5.654302329,8.210094457,0.655264581,Bom,Bom,Bom,Bom,Bom
1.959586104,43.76254911,11.02531275,-9.98792889,28.76764943,-10.2622723,-22.94887526,-2.093625468,Bom,Bom,Bom,Bom,Bom
3.181259174,36.18994724,5.754044253,-49.72087527,-2.713825843,-51.38747402,-81.7621888,-5.127819365,Bom,Bom,Bom,Ruim,Medio
